source_file,source_name,month,document_type,invoice_number,invoice_date,pages,line_count,line_goods_sum,net_total,vat_total,document_total,filename_total,line_difference,filename_difference,free_of_charge,status
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,2,15,882.52,882.52,176.5,1059.02,1059.02,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,3,17,1149.42,1149.42,222.01,1371.43,1371.43,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,3,32,1832.83,1832.83,366.58,2199.41,2199.41,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,23,754.25,754.25,150.86,905.11,905.11,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/Feb statement 2011501_77635486.pdf,Feb statement 2011501_77635486.pdf,2026.02,statement,,,1,0,0,,,,,,,False,statement
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,4,35,1593.74,1593.74,318.77,1912.51,1912.51,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.20 2393.93 3625987_77757254.pdf,3.20 2393.93 3625987_77757254.pdf,2026.03,invoice,3625987,2026-03-20,4,43,1994.93,1994.93,399.0,2393.93,2393.93,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.27 827.66 3630327_77797110.pdf,3.27 827.66 3630327_77797110.pdf,2026.03,invoice,3630327,2026-03-27,2,17,689.71,689.71,137.95,827.66,827.66,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.04 Tennet/4.10  1998.53 3645366_77893952.pdf,4.10  1998.53 3645366_77893952.pdf,2026.04,invoice,3645366,2026-04-10,4,38,1665.43,1665.43,333.1,1998.53,1998.53,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.04 Tennet/4.17  855.18 3650232_77940997.pdf,4.17  855.18 3650232_77940997.pdf,2026.04,invoice,3650232,2026-04-17,3,17,712.64,712.64,142.54,855.18,855.18,0.0,0.0,False,ok
