source_file,source_name,month,document_type,invoice_number,invoice_date,page,product_code,description,description_note,size,order_unit,quantity,net_price_per_order_unit,goods_value,vat_rate
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,090425,T.LAGER 11G KEG,small container chg 70p incl,11G,EA,1.0,123.66,123.66,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,400745,Caledonia Best 30L Keg,,30L,EA,1.0,52.65,52.65,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,400751,Menabrea 4.8% 50L Keg,,50L,EA,1.0,165.19,165.19,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,GRE004,GREY GOOSE VODKA 6X70CL,,,EA,1.0,31.39,31.39,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,J2O003,BVC J20 ORA+PASS 24X275ML NRB,,,CS,1.0,20.66,20.66,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,KOP008,KOPPARB STRAW/LIME 15X500 NRB,,,CS,2.0,25.55,51.1,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,KOP018,KOPPARB S/LIME ALC FREE 8X500,,,CS,2.0,11.13,22.26,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,PEP023,DIET PEPSI 24 X 200ML NRB,,,CS,2.0,12.37,24.74,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,SEV006,7 UP FREE 24X330ML NRB,SHARED ITEM,,CS,1.0,17.69,17.69,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,T00033841,BORGO TESIS PINOT GRIGIO 75x12,SHARED ITEM,,EA,22.0,7.21,158.62,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,T00041945,EL CUYO MALBEC 75X6,SHARED ITEM,,EA,8.0,6.36,50.88,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,T00044657,PETAL AND STEM SAUV BL 75x6,All Business Units,,EA,16.0,7.4,118.4,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,1,T00046710,SANTA RITA 8KM SAUVB 12.5%75X6,MCW & BWL SHARED,,EA,2.0,5.72,11.44,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,2,T00046734,PEPSI NRB 200x24,,,CS,2.0,12.07,24.14,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.01 Tennet/1.09 1059.02 3574820_77316593.pdf,1.09 1059.02 3574820_77316593.pdf,2026.01,invoice,3574820,2026-01-09,2,T00048153,HIGHLAND SPRING STILL 330X24,All Business Units,,CS,1.0,9.7,9.7,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,090425,T.LAGER 11G KEG,small container chg 70p incl,11G,EA,1.0,125.04,125.04,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,400751,Menabrea 4.8% 50L Keg,,50L,EA,1.0,166.84,166.84,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,BAC003,BACARDI WHITE RUM 6X70CL,,,EA,1.0,14.89,14.89,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,BLAC06,J.W. BLACK LABEL 6X70CL,,,EA,1.0,25.37,25.37,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,DIE008,IRN BRU DIET NRB 330X24,,,CS,1.0,19.49,19.49,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,GLA001,GLAYVA WHISKY LIQ 70cl x6,,,EA,1.0,27.17,27.17,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,GUI002,GUINNESS 50L KEG,,50L,EA,2.0,168.43,336.86,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,HIG015,HIGHLAND PARK 12YO 6X70,,,EA,1.0,35.01,35.01,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,IRN013,IRN BRU NRB 24 X 330ML NRB,,,CS,1.0,19.49,19.49,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,JAM002,JAMESONS 6X1.5LTR,,,EA,1.0,43.95,43.95,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,KOP018,KOPPARB S/LIME ALC FREE 8X500,,,CS,1.0,11.13,11.13,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,PEP023,DIET PEPSI 24 X 200ML NRB,,,CS,1.0,12.37,12.37,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,T00033841,BORGO TESIS PINOT GRIGIO 75x12,SHARED ITEM,,EA,8.0,7.31,58.48,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,T00046001,MAGLIA ROSA BLUSH 10.5% 75X12,SHARED ITEM,,EA,10.0,5.0,50.0,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,1,T00046200,WHISP HILLS WHT ZINF 8% 75X6,SHARED ITEM,,EA,30.0,3.99,119.7,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,2,T00048728,R WHITES SUGAR FREE BIB 7LX1,All Business Units,,CS,1.0,44.23,44.23,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.06 1371.43 3594195_77486743.pdf,2.06 1371.43 3594195_77486743.pdf,2026.02,invoice,3594195,2026-02-06,3,FUN078,FUNKIN PUREE STRAWBER 5X1KG CS,,,CS,1.0,39.4,39.4,
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,090425,T.LAGER 11G KEG,small container chg 70p incl,11G,EA,2.0,125.04,250.08,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,400745,Caledonia Best 30L Keg,,30L,EA,2.0,52.95,105.89,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,400751,Menabrea 4.8% 50L Keg,,50L,EA,2.0,166.85,333.69,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,80000672,Menabrea Bionda 0% 24x330ml,,,CS,1.0,17.99,17.99,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,BAC003,BACARDI WHITE RUM 6X70CL,,,EA,1.0,14.89,14.89,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,BOM001,BOMBAY SAPPHIRE GIN 70cl x6,,,EA,1.0,17.29,17.29,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,BRE017,BREWDOG PUNK IPA NRB 12X330ML,,,CS,1.0,19.55,19.55,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,COR008,Corona Beer 24x330ml NRB ABI,,,CS,1.0,25.39,25.39,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,GUI002,GUINNESS 50L KEG,,50L,EA,1.0,168.43,168.43,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,HEN009,HENDRICKS GIN 6X70CL,,,EA,1.0,25.96,25.96,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,KOP008,KOPPARB STRAW/LIME 15X500 NRB,,,CS,2.0,25.83,51.66,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,KOP018,KOPPARB S/LIME ALC FREE 8X500,,,CS,1.0,11.13,11.13,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,LON016,L.E GINGER BEER 24X200ML,,,CS,1.0,17.76,17.76,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,OVD002,O.V.D. RUM 6X70CL,,,EA,1.0,19.08,19.08,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,PEP023,DIET PEPSI 24 X 200ML NRB,,,CS,1.0,12.37,12.37,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,POS035,BARRS IRN BRU RS BIB 10L,,,EA,1.0,72.75,72.75,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,SMIR03,Smirnoff - Red 6x70cl,,,EA,6.0,12.29,73.74,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,1,SOU001,SOUTHERN COMF 70cl x6,,,EA,1.0,14.49,14.49,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00029324,CASA ALBALI VERDJ/SAUV 75X6,SHARED ITEM,,EA,10.0,5.78,57.8,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00029357,DA LUCA PROSECCO 75X6,SHARED ITEM,,EA,6.0,7.86,47.16,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00033841,BORGO TESIS PINOT GRIGIO 75x12,SHARED ITEM,,EA,12.0,7.31,87.72,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00041945,EL CUYO MALBEC 75X6,SHARED ITEM,,EA,12.0,6.47,77.64,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00044132,TANQUERAY LONDN DRY 41.3% 70X6,ALL BUSINESS UNITS,,EA,1.0,16.97,16.97,20.0
