product_code,description,size,order_unit,invoice_count,purchase_line_count,total_quantity,min_price,max_price,latest_price,latest_date
090425,T.LAGER 11G KEG,11G,EA,13,13,20.0,123.66,130.75,130.75,2026-06-12
400522,O&G PROSECCO BRUT (FC) 6X75CL,,CS,4,4,13.0,34.67,34.67,34.67,2026-06-26
400745,Caledonia Best 30L Keg,30L,EA,11,11,17.0,52.65,55.45,55.45,2026-06-19
400751,Menabrea 4.8% 50L Keg,50L,EA,14,14,21.0,165.19,174.01,174.01,2026-06-26
400890,T. Lager 24x20oz Glass,,CS,1,1,1.0,0.0,0.0,0.0,2026-05-08
80000142,MAGNERS ORIG 24x330ml NRB,,CS,5,5,13.0,18.87,19.44,19.44,2026-05-01
80000672,Menabrea Bionda 0% 24x330ml,,CS,5,5,5.0,16.99,22.71,22.71,2026-06-19
80000712,MENABREA 20oz CHALICE,,CS,1,1,2.0,0.0,0.0,0.0,2026-05-08
AMA001,AMARETTO 6X70CL,,EA,2,2,2.0,16.99,16.99,16.99,2026-06-19
ANT002,ANTICA SAMBUCA 70cl x6,,EA,1,1,3.0,14.43,14.43,14.43,2026-02-27
APE002,APEROL 6X70CL,,EA,1,1,2.0,13.34,13.34,13.34,2026-05-01
ARC001,ARCHERS 18% 70cl x6,,EA,1,1,1.0,13.13,13.13,13.13,2026-02-27
BAC002,BACARDI SUPERIOR RUM 1.5L x6,,EA,1,1,1.0,34.91,34.91,34.91,2026-04-17
BAC003,BACARDI WHITE RUM 6X70CL,,EA,4,4,4.0,14.89,14.89,14.89,2026-03-20
BAI001,BAILEYS IRISH CRM 70cl x6,,EA,2,2,4.0,13.09,13.09,13.09,2026-06-12
BAI003,BAILEYS IRISH CRM 1.5L x6,,EA,1,1,1.0,26.76,26.76,26.76,2026-02-27
BLA012,BLACK BOTTLE WSKY 70cl x6,,EA,1,1,1.0,17.9,17.9,17.9,2026-02-27
BLAC06,J.W. BLACK LABEL 6X70CL,,EA,3,3,3.0,25.37,25.94,25.94,2026-06-12
BOM001,BOMBAY SAPPHIRE GIN 70cl x6,,EA,2,2,2.0,17.29,23.12,23.12,2026-06-12
BOT055,BOTTEGA GOLD PROSEC 24X20CL CS,,CS,1,1,1.0,67.68,67.68,67.68,2026-04-10
BOW003,BOWMORE 12YO 6X70,,EA,1,1,1.0,32.59,32.59,32.59,2026-04-17
BRE017,BREWDOG PUNK IPA NRB 12X330ML,,CS,4,4,5.0,19.55,19.7,19.7,2026-05-01
BUC001,Buckfast Tonic Wine 12x75cl,,EA,1,1,2.0,8.76,8.76,8.76,2026-03-20
BUD010,BUDWEISER 4.5% 24X330ML,,CS,5,5,12.0,22.77,22.77,22.77,2026-05-01
CAC020,CACTUS JACK APPLE SOUR 6X70CL,,EA,1,1,1.0,7.75,7.75,7.75,2026-03-20
CHI001,CHIVAS REGAL 12Y/O 6X70CL,,EA,1,1,1.0,24.54,24.54,24.54,2026-06-12
COR008,Corona Beer 24x330ml NRB ABI,,CS,6,6,13.0,22.89,26.05,22.89,2026-06-26
COU002,COURVOISIER VS 6X70CL,,EA,1,1,1.0,24.04,24.04,24.04,2026-02-27
DIE008,IRN BRU DIET NRB 330X24,,CS,6,6,7.0,19.49,20.26,20.26,2026-05-08
DRA001,DRAMBUIE 70cl x6,,EA,1,1,6.0,19.99,19.99,19.99,2026-05-01
FAN015,FANTA ORANGE ICON 24X330 NRB,,CS,6,6,6.0,16.49,17.94,17.94,2026-06-26
FUN051,FUNKIN GOMM S/CANE SYRUP6X70CL,,EA,1,1,2.0,3.91,3.91,3.91,2026-05-01
FUN078,FUNKIN PUREE STRAWBER 5X1KG CS,,CS,1,1,1.0,39.4,39.4,39.4,2026-02-06
GIN028,BSD GINGER ALE 200MLX24,,CS,2,2,2.0,16.34,16.34,16.34,2026-03-20
GIN029,BSD GINGER BEER 200MLX24,,CS,2,2,2.0,16.87,16.87,16.87,2026-05-01
GLA001,GLAYVA WHISKY LIQ 70cl x6,,EA,1,1,1.0,27.17,27.17,27.17,2026-02-06
GLE001,GLENFIDDICH MALT WHKY 70cl x6,,EA,2,2,3.0,26.99,26.99,26.99,2026-06-19
GLE086,GLEN MORAY CLASSIC 6X70CL,,EA,1,1,1.0,21.04,21.04,21.04,2026-02-27
GOR002,GORDONS GIN 1.5L x6,,EA,2,2,2.0,26.19,27.09,27.09,2026-04-17
GOR003,GORDONS GIN 70cl x 6,,EA,5,5,11.0,12.45,12.99,12.99,2026-06-12
GRE004,GREY GOOSE VODKA 6X70CL,,EA,2,2,2.0,31.39,32.1,32.1,2026-06-12
GRO003,FAMOUS GROUSE WHKY 1.5L x6,,EA,1,1,1.0,30.45,30.45,30.45,2026-04-17
GUI002,GUINNESS 50L KEG,50L,EA,2,2,3.0,168.43,168.43,168.43,2026-02-20
GUI003,Guinness Draught 30L Keg,30L,EA,10,10,18.0,106.93,106.93,106.93,2026-06-26
GUI004,GUINNESS DRAUGHT 0% CAN 440X24,,CS,3,3,4.0,23.0,23.0,23.0,2026-05-22
HEN009,HENDRICKS GIN 6X70CL,,EA,4,4,4.0,23.49,26.1,26.1,2026-06-12
HIG015,HIGHLAND PARK 12YO 6X70,,EA,1,1,1.0,35.01,35.01,35.01,2026-02-06
IRN013,IRN BRU NRB 24 X 330ML NRB,,CS,7,7,9.0,19.49,20.26,20.26,2026-06-12
J2O001,BVC J20 APP+MANGO 24X275ML NRB,,CS,2,2,2.0,21.33,21.33,21.33,2026-06-26
J2O003,BVC J20 ORA+PASS 24X275ML NRB,,CS,4,4,4.0,20.66,21.15,21.15,2026-06-26
J2O005,BVC J20 APPL&RASP 24X275ML NRB,,CS,2,2,2.0,21.33,21.33,21.33,2026-06-26
JAC001,JACK DANIELS 70cl x6,,EA,3,3,5.0,18.99,18.99,18.99,2026-06-12
JAC002,JACK DANIELS 1.5L x6,,EA,1,1,1.0,43.9,43.9,43.9,2026-04-17
JAG001,JAGERMEISTER LIQUEUR 70x6,,EA,1,1,1.0,16.31,16.31,16.31,2026-03-20
JAM001,JAMESONS WHISKEY 70cl x6,,EA,4,4,4.0,17.89,21.47,21.47,2026-06-12
JAM002,JAMESONS 6X1.5LTR,,EA,1,1,1.0,43.95,43.95,43.95,2026-02-06
KOP003,KOPPARB MIXED FRUIT 15X500 NRB,,CS,6,6,10.0,24.99,26.57,24.99,2026-06-12
KOP008,KOPPARB STRAW/LIME 15X500 NRB,,CS,7,7,13.0,24.99,26.57,24.99,2026-06-12
KOP018,KOPPARB S/LIME ALC FREE 8X500,,CS,8,8,14.0,11.13,11.37,11.37,2026-06-26
KRA001,KRAKEN SPICED DARK RUM 6X70CL,,EA,7,7,7.0,18.49,20.49,20.49,2026-06-26
LIM009,BVC LIME CORDIAL 1LT x12,,CS,3,3,3.0,20.53,20.53,20.53,2026-06-26
LON016,L.E GINGER BEER 24X200ML,,CS,2,2,3.0,12.99,17.76,12.99,2026-03-13
M10341,Menabrea Blonde 4.8% 24x330ml,,CS,4,4,6.0,23.99,26.91,26.91,2026-05-22
MAR003,MARTELL VS 70cl x6,,EA,1,1,1.0,26.71,26.71,26.71,2026-02-27
MAR009,MARTINI BIANCO 6X75CL,,EA,1,1,1.0,11.95,11.95,11.95,2026-06-08
NEW002,NEWCASTLE BROWN A 12X550ML NRB,,CS,1,1,3.0,21.66,21.66,21.66,2026-05-22
OVD002,O.V.D. RUM 6X70CL,,EA,2,2,2.0,19.08,19.08,19.08,2026-02-27
PAD005,PADDOCK CHARDONNAY 6X75CL,,EA,6,6,78.0,5.11,5.11,5.11,2026-06-19
PAD006,PADDOCK SHIRAZ 75X6,,EA,6,6,67.0,5.03,5.03,5.03,2026-06-19
PAS001,PASSOA 6X70CL,,EA,1,1,1.0,12.94,12.94,12.94,2026-05-01
PEP023,DIET PEPSI 24 X 200ML NRB,,CS,9,9,13.0,12.37,12.37,12.37,2026-05-08
PEP031,DIET PEPSI NRB 24 X 330ML NRB,,CS,1,1,4.0,15.68,15.68,15.68,2026-06-26
PER024,PERONI NASTRO AZZURO GF 330X24,,CS,1,1,2.0,34.33,34.33,34.33,2026-05-01
POS035,BARRS IRN BRU RS BIB 10L,,EA,1,1,1.0,72.75,72.75,72.75,2026-02-20
RED002,J.W. RED LABEL 6X70CL,,EA,2,2,2.0,18.66,18.66,18.66,2026-06-12
RED009,RED BULL CAN 24 X 250ML CAN,,CS,5,5,7.0,26.61,27.95,27.95,2026-06-26
RED013,RED BULL WATERMEL 12X250ML CAN,,CS,1,1,1.0,14.39,14.39,14.39,2026-03-20
SEV006,7 UP FREE 24X330ML NRB,,CS,5,5,5.0,17.69,18.05,18.05,2026-06-12
SLI002,SCHWEP SLIM TONIC 24X200ML NRB,,CS,1,1,2.0,11.29,11.29,11.29,2026-03-13
SMI002,SMIRNOFF RED LABEL 1.5L x6,,EA,2,2,2.0,26.19,26.19,26.19,2026-04-10
SMI010,SMIR RED ICE 24X275ML NRB,,CS,2,2,3.0,22.49,28.89,22.49,2026-06-19
SMI036,SMIRNOFF - GOLD 6X70CL,,EA,1,1,1.0,22.58,22.58,22.58,2026-03-20
SMIR03,Smirnoff - Red 6x70cl,,EA,7,7,48.0,12.29,12.99,12.69,2026-06-12
SOU001,SOUTHERN COMF 70cl x6,,EA,1,1,1.0,14.49,14.49,14.49,2026-02-20
